Player,Link,Tm,Money,Signed Using,Year
Kobe Bryant,,LAL,25000000,Bird Rights,2016
Joe Johnson,,BRK,24894863,,2016
LeBron James,,CLE,22971000,Cap Space,2016
Carmelo Anthony,,NYK,22875000,Bird Rights,2016
Dwight Howard,,HOU,22359364,Cap Space,2016
Chris Bosh,,MIA,22192730,Bird Rights,2016
Chris Paul,,LAC,21468696,Bird Rights,2016
Kevin Durant,,OKC,20158622,Bird Rights,2016
Derrick Rose,,CHI,20093063,Bird Rights,2016
Dwyane Wade,,MIA,20000000,Bird Rights,2016
Brook Lopez,,BRK,20000000,Bird Rights,2016
Marc Gasol,,MEM,19700000,Bird Rights,2016
LaMarcus Aldridge,,SAS,19500000,Cap Space,2016
DeAndre Jordan,,LAC,19500000,Bird Rights,2016
Kevin Love,,CLE,19500000,Bird Rights,2016
Paul Millsap,,ATL,19000000,Bird Rights,2016
Blake Griffin,,LAC,18907725,Bird Rights,2016
Paul George,,IND,17120106,1st Round Pick,2016
Russell Westbrook,,OKC,16744218,Bird Rights,2016
Kawhi Leonard,,SAS,16500000,Bird Rights,2016
Enes Kanter,,OKC,16400000,Bird Rights,2016
Greg Monroe,,MIL,16400000,Cap Space,2016
Wesley Matthews,,DAL,16400000,Cap Space,2016
Tobias Harris,,DET,16000000,Bird Rights,2016
John Wall,,WAS,15851950,1st Round Pick,2016
James Harden,,HOU,15756438,Bird Rights,2016
Eric Gordon,,NOP,15514031,Bird Rights,2016
Roy Hibbert,,LAL,15500000,Bird Rights,2016
Klay Thompson,,GSW,15500000,1st Round Pick,2016
David Lee,,BOS,15493680,,2016
Gordon Hayward,,UTA,15409570,Bird Rights,2016
Chandler Parsons,,DAL,15361500,Cap Space,2016
Jimmy Butler,,CHI,15260000,Bird Rights,2016
Khris Middleton,,MIL,15000000,Bird Rights,2016
Goran Dragic,,MIA,14780000,Bird Rights,2016
Kyrie Irving,,CLE,14746000,Early Bird Rights,2016
DeMarcus Cousins,,SAC,14728844,1st Round Pick,2016
Draymond Green,,GSW,14300000,Bird Rights,2016
Tristan Thompson,,CLE,14260870,Bird Rights,2016
Reggie Jackson,,DET,14000000,Bird Rights,2016
Danilo Gallinari,,DEN,14000000,,2016
Al Jefferson,,CHO,13833333,Cap Space,2016
DeMarre Carroll,,TOR,13500000,Cap Space,2016
Tony Parker,,SAS,13437500,Bird Rights,2016
Joakim Noah,,CHI,13400000,Bird Rights,2016
