Player,Link,Tm,Money,Signed Using,Year
Kobe Bryant,,LAL,23500000,Bird Rights,2015
Amar'e Stoudemire,,NYK,23410988,,2015
Joe Johnson,,BRK,23180790,Bird Rights,2015
Carmelo Anthony,,NYK,22458000,Bird Rights,2015
Dwight Howard,,HOU,21436271,Cap Space,2015
Chris Bosh,,MIA,20644400,Bird Rights,2015
LeBron James,,CLE,20644400,Cap Space,2015
Chris Paul,,LAC,20068563,Bird Rights,2015
Deron Williams,,BRK,19754465,Bird Rights,2015
Brandon Roy,,POR,19317326,,2015
Rudy Gay,,SAC,19317325,Bird Rights,2015
Kevin Durant,,OKC,18995624,Bird Rights,2015
Derrick Rose,,CHI,18862875,Bird Rights,2015
Blake Griffin,,LAC,17674612,Bird Rights,2015
Zach Randolph,,MEM,16500000,Bird Rights,2015
LaMarcus Aldridge,,POR,16006000,Bird Rights,2015
Paul George,,IND,15925680,1st Round Pick,2015
Marc Gasol,,MEM,15829688,Bird Rights,2015
Brook Lopez,,BRK,15719063,Bird Rights,2015
Russell Westbrook,,OKC,15719062,Bird Rights,2015
Kevin Love,,CLE,15719062,Cap Space,2015
David Lee,,GSW,15012000,Bird Rights,2015
Dwyane Wade,,MIA,15000000,Bird Rights,2015
Eric Gordon,,NOP,14898938,Bird Rights,2015
Roy Hibbert,,IND,14898938,Bird Rights,2015
John Wall,,WAS,14746000,1st Round Pick,2015
Gordon Hayward,,UTA,14746000,Bird Rights,2015
James Harden,,HOU,14728844,Bird Rights,2015
Chandler Parsons,,DAL,14700000,Cap Space,2015
Tyson Chandler,,DAL,14598888,Bird Rights,2015
Josh Smith,,DET,14000000,,2015
DeMarcus Cousins,,SAC,13701250,1st Round Pick,2015
Al Jefferson,,CHO,13666667,Cap Space,2015
Carlos Boozer,,CHI,13550000,,2015
Nene Hilario,,WAS,13000000,Bird Rights,2015
Andrew Bogut,,GSW,12972973,Bird Rights,2015
Rajon Rondo,,DAL,12909091,Bird Rights,2015
Derrick Favors,,UTA,12833333,1st Round Pick,2015
Tony Parker,,SAS,12500000,Bird Rights,2015
Serge Ibaka,,OKC,12350000,Bird Rights,2015
Andre Iguodala,,GSW,12289544,Bird Rights,2015
Joakim Noah,,CHI,12200000,Bird Rights,2015
Eric Bledsoe,,PHO,12173913,Bird Rights,2015
Nikola Pekovic,,MIN,12100000,Bird Rights,2015
Kyle Lowry,,TOR,12000000,Bird Rights,2015
Kevin Garnett,,MIN,12000000,Bird Rights,2015
David West,,IND,12000000,Early Bird Rights,2015
Al Horford,,ATL,12000000,Bird Rights,2015
Nicolas Batum,,POR,11765500,Bird Rights,2015
Ty Lawson,,DEN,11595506,Bird Rights,2015
Andrea Bargnani,,NYK,11500000,Bird Rights,2015
DeAndre Jordan,,LAC,11440124,Bird Rights,2015
JaVale McGee,,PHI,11250000,,2015
Larry Sanders,,MIL,11000000,,2015
Danilo Gallinari,,DEN,10854850,Bird Rights,2015
Tyreke Evans,,NOP,10763500,Bird Rights,2015
Stephen Curry,,GSW,10629213,Bird Rights,2015
Marcin Gortat,,WAS,10434782,Bird Rights,2015
Gerald Wallace,,BOS,10105855,Bird Rights,2015
Tim Duncan,,SAS,10000000,Bird Rights,2015
Jrue Holiday,,NOP,9904495,Bird Rights,2015
Luol Deng,,MIA,9714461,Cap Space,2015
Anderson Varejao,,CLE,9704595,Bird Rights,2015
Steve Nash,,LAL,9701000,,2015
Kendrick Perkins,,UTA,9654342,,2015
DeMar DeRozan,,TOR,9500000,Bird Rights,2015
Paul Millsap,,ATL,9500000,Cap Space,2015
Jeff Green,,MEM,9445000,Bird Rights,2015
Thaddeus Young,,BRK,9410870,Bird Rights,2015
Tyrus Thomas,,CHO,9388000,,2015
Tiago Splitter,,SAS,9250000,Bird Rights,2015
Jordan Hill,,LAL,9000000,Cap Space,2015
Lance Stephenson,,CHO,9000000,Cap Space,2015
Mike Conley,,MEM,8894216,Cap Space,2015
Trevor Ariza,,HOU,8579089,Bird Rights,2015
Marcus Thornton,,PHO,8575000,Cap Space,2015
Ryan Anderson,,NOP,8491500,Bird Rights,2015
Andray Blatche,,WAS,8471339,,2015
Omer Asik,,NOP,8374646,Cap Space,2015
Jeremy Lin,,LAL,8374646,Cap Space,2015
Monta Ellis,,DAL,8360000,Cap Space,2015
Channing Frye,,ORL,8175476,Cap Space,2015
O.J. Mayo,,MIL,8000000,Cap Space,2015
George Hill,,IND,8000000,Bird Rights,2015
Brandon Jennings,,DET,8000000,Bird Rights,2015
Taj Gibson,,CHI,8000000,Bird Rights,2015
Jeff Teague,,ATL,8000000,Bird Rights,2015
Dirk Nowitzki,,DAL,7974482,Cap Space,2015
Ersan Ilyasova,,MIL,7900000,Bird Rights,2015
Brendan Haywood,,DAL,7798000,,2015
Arron Afflalo,,POR,7750000,Bird Rights,2015
Tayshaun Prince,,DET,7707865,Bird Rights,2015
Boris Diaw,,SAS,7500000,Bird Rights,2015
Goran Dragic,,MIA,7500000,Cap Space,2015
Josh Childress,,PHO,7317500,,2015
Wesley Matthews,,POR,7245640,MLE,2015
Isaiah Thomas,,BOS,7238606,,2015
Avery Bradley,,BOS,7191011,Bird Rights,2015
